"","region_name","location_name","site_name","reef_name","reef_type","trip_code","trip_year","set_code","maxn","common_name","genus","species","species_group","family","event_time_mil","event_time_mins","set_lat","set_long","visibility","depth","bait","current_flow_estimated","current_flow_instrumented","reef_id","set_id","master_set_id","animal_id","field_of_view","substrate_relief_sd","substrate_relief_mean","ascidians","bleached_corals","bryozoa","consolidated","crinoids","halimeda","hard_coral","hydrocoral","hydroids","invertebrate_complex","macroalgae","mangrove","seagrass","soft_coral","sponge","true_anemones","unconsolidated","zoanthids","team","set_date","wkt_coordinates","reef_habitat_name","drop_time","haul_time","equipment_frame_type","equipment_camera","equipment_stereo_camera","equipment_camera_height","equipment_arm_length","bait_preparation","bait_type","bait_oiled","video_file_name","video_source","video_path","comments","message_to_annotators","bruv_image_url","splendor_image_url","reviewed_assignments","total_assignments","master_record_state","site_type","mpa_name","mpa_area","mpa_year_founded","mpa_isolation","mpa_compliance","fishing_restrictions","shark_fishing_gear","region_id","location_id","site_id","location_code","coast_length","HDI_2015","voice_2016","gov_effect_2016","GDP_year","GDP_per_capita_USD","population_2016","tax_haven","shark_sanctuary","reef_catch","shark_catch","reefshark_catch","bechedemer","Grav_Total","protection_status","shark_protection_status","bait_family_specific","bait_family","Remote","temp_est","chloro_est","prec_est","daylight","month","hemisphere","season","coast_type"
"11","Pacific","USA-Pacific","Palmyra Atoll","Reef","flat","LC_2015_US-P_01",2015,"PYR_082",8,"Blacktip reef shark","Carcharhinus","melanopterus","Shark","Carcharhinidae",1100030,"018:20:030",5.8942,-162.0914,10,0,"Chub mackerel","",NA,194,36210,19196,114,"Open",1.777,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,"SBU","2015-09-09","0101000000575BB1BFEC4264C03255302AA9931740","flat","09:44:00","11:45:00","Mixed","Unknown","True",0,0,"CHP","Chub mackerel","False","PYR_082.mp4","S3","","Legacy site name: Western_Tip","","",NA,1,1,"Completed","C","",NA,NA,"","","","",3,66,145,"US-P",85.7,0.92,1.103929162,1.481050014,2016,57638.15909,323127513,0,0,210.7308105,1975.176545,0,0,0,"openly fished","Closed","Scombridae","Scombridae","Yes",30.19,0.0502,0.0758371278643608,12.1900860243766,"09","northern","shoulder","closed atoll"
"12","Coral Triangle","Malaysia","Semporna Islands Park","Tun Sakaran Marine Park","back reef","FP_2015_MY_01",2015,"SNTS_002",NA,"","","","","",NA,"",4.58236667,118.7753833,9,43.9,"Pilchards","",NA,402,979,603,9999,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,"JCU","2015-11-29","010100000055D746E19FB15D40C1B8A7ED57541240","back reef","09:20:00","10:29:00","Stainless rebar","GoPro Hero 4","False",50,100,"CRS","Pilchards","False","FP_2015_MY_01_SNTS_002_L.avi","","","","","",NA,2,2,"Completed","I","Tun Sakaran Marine Park",101,2004,"<20km to next reef","medium","area, species","gillnet; spear; seine; hook and line",2,100,126,"MY",4675,0.789,-0.467914581,0.881595492,2016,9508.23775,31187265,1,0,882222.1754,50385.43592,783.6639212,0,63,"restricted","Restricted","Clupeidae","Clupeidae","No",30.05,0.3713,0.122188299894333,11.8804107231053,"11","northern","winter","island"
"13","Coral Triangle","Malaysia","Semporna Islands Park","Tun Sakaran Marine Park","crest","FP_2015_MY_01",2015,"SNTS_003",NA,"","","","","",NA,"",4.58228333,118.7731333,9,7.2,"Pilchards","",NA,402,980,604,9999,"",1.1875,1.0769,0,0,0,28,0,0,23,0,0,0,0,0,0,7,0,0,42,0,"JCU","2015-11-29","0101000000B5BC17047BB15D40856CCD1442541240","crest","09:28:00","10:32:00","Stainless rebar","GoPro Hero 4","False",50,100,"CRS","Pilchards","False","FP_2015_MY_01_SNTS_003_L.avi","","","Waypoint SN003A;","","",NA,2,2,"Completed","I","Tun Sakaran Marine Park",101,2004,"<20km to next reef","medium","area, species","gillnet; spear; seine; hook and line",2,100,126,"MY",4675,0.789,-0.467914581,0.881595492,2016,9508.23775,31187265,1,0,882222.1754,50385.43592,783.6639212,0,63,"restricted","Restricted","Clupeidae","Clupeidae","No",30.05,0.3713,0.122188299894333,11.8804150795691,"11","northern","winter","island"
"14","Coral Triangle","Indonesia","Bau Bau","Islands","slope","FP_2018_ID_01",2018,"BBIL3_060",2,"Blacktip reef shark","Carcharhinus","melanopterus","Shark","Carcharhinidae",157391,"002:37:391",-5.59895,122.4962,10,11.2,"Pilchards","",NA,493,33238,18435,114,"",0,2,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JCU","2018-03-27","01010000009D11A5BDC19F5E40BEC11726536516C0","slope","09:03:00","10:16:00","Aluminium","GoPro Hero 4 Silver","False",50,100,"CRS","Pilchards","False","BBIL3_060.mp4","S3","","","","",NA,1,1,"Completed","I","",NA,NA,"","","","spear; fish trap; seine; gillnet; hook and line; blast; longline",2,93,218,"ID",54720,0.689,0.143167585,0.013530596,2016,3570.294888,261115456,0,0,2055634.187,75195.53943,1846.354773,791.3664766,54,"openly fished","Open","Clupeidae","Clupeidae","No",29.9,0.1599,0.251566380262375,12.0818819689218,"03","southern","shoulder","island"
"15","Coral Triangle","Indonesia","Bau Bau","Islands","slope","FP_2018_ID_01",2018,"BBIL3_061",2,"Blacktip reef shark","Carcharhinus","melanopterus","Shark","Carcharhinidae",12964,"000:12:964",-5.60334,122.49915,10,38.6,"Pilchards","",NA,493,33239,18436,114,"",0.483,0.7,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,30,0,"JCU","2018-03-27","01010000001973D712F29F5E407D7901F6D16916C0","slope","09:10:00","10:22:00","Aluminium","GoPro Hero 4 Silver","False",50,100,"CRS","Pilchards","False","BBIL3_061.mp4","S3","","BB munched","","",NA,1,1,"Completed","I","",NA,NA,"","","","spear; fish trap; seine; gillnet; hook and line; blast; longline",2,93,218,"ID",54720,0.689,0.143167585,0.013530596,2016,3570.294888,261115456,0,0,2055634.187,75195.53943,1846.354773,791.3664766,54,"openly fished","Open","Clupeidae","Clupeidae","No",29.9,0.1599,0.251566380262375,12.0818592577362,"03","southern","shoulder","island"
"16","Pacific","Guam","Guam","Agana","slope","HE_2010_GU_01",2010,"GUAG_001",NA,"","","","","",NA,"",13.4946994,144.76663641,10,29.7,"Pacific saury (and crushed)","",NA,714,28851,14000,9999,"",0,2,0,0,0,33,0,0,67,0,0,0,0,0,0,0,0,0,0,0,"AIMS","2010-10-13","0101000000EE9B1449881862409FB3603D49FD2A40","slope","09:47:00","","Stainless rebar","Sony CX-7 HDR","True",60,120,"CHP","Pacific saury (and crushed)","False","HE_2010_GU_01_GUAG_001.avi","legacy archive","","GW-EA-M4","","",NA,1,1,"Completed","I","",NA,NA,"","","gear","hook and line; gillnet; spear",3,78,173,"GU",125.5,0.92,1.103929162,0.26572603,2016,35562.56753,162896,1,0,54.03520848,3.583790878,0.01822026,0.006699032,39,"restricted","Closed","Scomberesocidae","Other","No",29.46,0.0599,0.0266338009387255,11.8751287351686,"10","northern","shoulder","island"
"17","Coral Triangle","Malaysia","Semporna Islands Park","Tun Sakaran Marine Park","flat","FP_2015_MY_01",2015,"SNTS_083",1,"Bluespotted fantail ray","Taeniura","lymma","Ray","Dasyatidae",2234167,"037:14:167",4.6347167,118.75247,9,4.7,"Pilchards","",NA,402,341,614,255,"",1.2666,1.2857,0,1,0,23,0,0,7,0,0,0,0,0,0,0,7,0,62,0,"JCU","2015-12-07","0101000000274EEE7728B05D4072E6B22CF3891240","flat","09:55:00","11:04:00","Stainless rebar","GoPro Hero 4","False",50,100,"CRS","Pilchards","False","FP_2015_MY_01_SNTS_083_L.avi","","","","","",NA,2,2,"Completed","I","Tun Sakaran Marine Park",101,2004,"<20km to next reef","medium","area, species","gillnet; spear; seine; hook and line",2,100,126,"MY",4675,0.789,-0.467914581,0.881595492,2016,9508.23775,31187265,1,0,882222.1754,50385.43592,783.6639212,0,63,"restricted","Restricted","Clupeidae","Clupeidae","No",30.05,0.4916,0.51924467086792,11.8638714607036,"12","northern","winter","island"
"18","Coral Triangle","Malaysia","Semporna Islands Park","Tun Sakaran Marine Park","slope","FP_2015_MY_01",2015,"SNTS_084",NA,"","","","","",NA,"",4.63665,118.7472667,9,14.6,"Pilchards","",NA,402,1060,731,9999,"",0.9465,4.3125,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,"JCU","2015-12-07","0101000000F378B537D3AF5D405DFE43FAED8B1240","slope","10:00:00","11:08:00","Stainless rebar","GoPro Hero 4","False",50,100,"CRS","Pilchards","False","FP_2015_MY_01_SNTS_084_L.avi","","","","","",NA,2,2,"Completed","I","Tun Sakaran Marine Park",101,2004,"<20km to next reef","medium","area, species","gillnet; spear; seine; hook and line",2,100,126,"MY",4675,0.789,-0.467914581,0.881595492,2016,9508.23775,31187265,1,0,882222.1754,50385.43592,783.6639212,0,27,"restricted","Restricted","Clupeidae","Clupeidae","No",30.05,0.4916,0.51924467086792,11.8637641885738,"12","northern","winter","island"
"19","Coral Triangle","Malaysia","Semporna Islands Park","Tun Sakaran Marine Park","crest","FP_2015_MY_01",2015,"SNTS_085",NA,"","","","","",NA,"",4.63725,118.74075,7,6.6,"Pilchards","",NA,402,342,615,9999,"",1.4668,1.8333,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,38,0,"JCU","2015-12-07","0101000000C520B07268AF5D40068195438B8C1240","crest","11:17:00","12:33:00","Stainless rebar","GoPro Hero 4","False",50,100,"CRS","Pilchards","False","FP_2015_MY_01_SNTS_085_L.avi","","","","","",NA,2,2,"Completed","I","Tun Sakaran Marine Park",101,2004,"<20km to next reef","medium","area, species","gillnet; spear; seine; hook and line",2,100,126,"MY",4675,0.789,-0.467914581,0.881595492,2016,9508.23775,31187265,1,0,882222.1754,50385.43592,783.6639212,0,27,"restricted","Restricted","Clupeidae","Clupeidae","No",30.05,0.4916,0.51924467086792,11.8637308965523,"12","northern","winter","island"
"20","Coral Triangle","Malaysia","Semporna Islands Park","Tun Sakaran Marine Park","slope","FP_2015_MY_01",2015,"SNTS_088",NA,"","","","","",NA,"",4.63761667,118.7261167,9,15.6,"Pilchards","",NA,402,1061,732,9999,"",0.5136,3.5714,0,0,0,9,0,0,91,0,0,0,0,0,0,0,0,0,0,0,"JCU","2015-12-07","010100000016E52DB278AE5D4040236462EB8C1240","slope","11:38:00","12:45:00","Stainless rebar","GoPro Hero 4","False",50,100,"CRS","Pilchards","False","FP_2015_MY_01_SNTS_088_L.avi","","","Current meter","","",NA,2,2,"Completed","I","Tun Sakaran Marine Park",101,2004,"<20km to next reef","medium","area, species","gillnet; spear; seine; hook and line",2,100,126,"MY",4675,0.789,-0.467914581,0.881595492,2016,9508.23775,31187265,1,0,882222.1754,50385.43592,783.6639212,0,27,"restricted","Restricted","Clupeidae","Clupeidae","No",30.05,0.4916,0.51924467086792,11.8637105512204,"12","northern","winter","island"
"21","Coral Triangle","Malaysia","Semporna Islands Park","Tun Sakaran Marine Park","slope","FP_2015_MY_01",2015,"SNTS_091",1,"Bluespotted fantail ray","Taeniura","lymma","Ray","Dasyatidae",824636,"013:44:636",4.63293333,118.7117333,9,12.6,"Pilchards","",NA,402,1062,733,255,"",1.118,1,0,0,0,40,0,0,10,0,0,0,0,0,0,0,0,0,50,0,"JCU","2015-12-07","010100000059BED3098DAD5D40F097C3AC1F881240","slope","13:02:00","14:13:00","Stainless rebar","GoPro Hero 4","False",50,100,"CRS","Pilchards","False","FP_2015_MY_01_SNTS_091_L.avi","","","Camera off on pull","","",NA,2,2,"Completed","I","Tun Sakaran Marine Park",101,2004,"<20km to next reef","medium","area, species","gillnet; spear; seine; hook and line",2,100,126,"MY",4675,0.789,-0.467914581,0.881595492,2016,9508.23775,31187265,1,0,882222.1754,50385.43592,783.6639212,0,27,"restricted","Restricted","Clupeidae","Clupeidae","No",30.05,0.4916,0.51924467086792,11.863970413314,"12","northern","winter","island"
"22","Coral Triangle","Malaysia","Semporna Islands Park","Tun Sakaran Marine Park","slope","FP_2015_MY_01",2015,"SNTS_092",1,"Bluespotted fantail ray","Taeniura","lymma","Ray","Dasyatidae",1358758,"022:38:758",4.6288,118.70935,7,15.1,"Pilchards","",NA,402,347,620,255,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,"JCU","2015-12-07","0101000000BADA8AFD65AD5D4032E6AE25E4831240","slope","13:08:00","14:16:00","Stainless rebar","GoPro Hero 4","False",50,100,"CRS","Pilchards","False","FP_2015_MY_01_SNTS_092_L.avi","","","","","",NA,2,2,"Completed","I","Tun Sakaran Marine Park",101,2004,"<20km to next reef","medium","area, species","gillnet; spear; seine; hook and line",2,100,126,"MY",4675,0.789,-0.467914581,0.881595492,2016,9508.23775,31187265,1,0,882222.1754,50385.43592,783.6639212,0,27,"restricted","Restricted","Clupeidae","Clupeidae","No",30.05,0.4916,0.51924467086792,11.8641997549629,"12","northern","winter","island"
"23","Coral Triangle","Malaysia","Semporna Islands Park","Tun Sakaran Marine Park","slope","FP_2015_MY_01",2015,"SNTS_100",1,"Bluespotted fantail ray","Taeniura","lymma","Ray","Dasyatidae",2195796,"036:35:796",4.6011,118.71162,9,9.4,"Pilchards","",NA,402,354,626,255,"",1.3827,2.1667,0,1,0,22,0,0,39,0,0,0,0,0,0,16,0,0,22,0,"JCU","2015-12-07","01010000007DCB9C2E8BAD5D409D8026C286671240","slope","15:05:00","16:11:00","Stainless rebar","GoPro Hero 4","False",50,100,"CRS","Pilchards","False","FP_2015_MY_01_SNTS_100_L.avi","","","","","",NA,2,2,"Completed","I","Tun Sakaran Marine Park",101,2004,"<20km to next reef","medium","area, species","gillnet; spear; seine; hook and line",2,100,126,"MY",4675,0.789,-0.467914581,0.881595492,2016,9508.23775,31187265,1,0,882222.1754,50385.43592,783.6639212,0,27,"restricted","Restricted","Clupeidae","Clupeidae","No",30.05,0.4916,0.51924467086792,11.8657366591974,"12","northern","winter","island"
"24","Pacific","Australia-Pacific","Central GBR","Rib Reef","slope","FP_2016_AU-P_01",2016,"TSV1_001",1,"Blacktip reef shark","Carcharhinus","melanopterus","Shark","Carcharhinidae",992616,"016:32:616",-18.478683,146.865445,10,12.2,"Pilchards","",NA,230,2149,19,114,"",1.1217,1.7857,0,0,0,0,0,0,58,0,0,0,0,0,0,7,0,0,35,0,"AIMS","2016-01-20","0101000000936FB6B9B15B6240B32616F88A7A32C0","slope","08:19:00","10:01:00","Aluminium (AIMS)","GoProHero4Silver","False",50,150,"CRS","Pilchards","False","FP_2016_AU-P_01_TSV1_001.mp4","","","","","",NA,1,1,"Completed","B","GBRMPA Rib Reef Habitat Protection Zone",10.9,2004,"<20km to next reef","high","gear, species, size, bag, entrants, temporal","spear; hook and line; gillnet; seine",3,73,154,"AU-P",12880,0.939,1.300534725,1.584797382,2016,49755.31548,24127159,0,0,45450.05135,9143.549442,1020.379785,1204.394097,4,"restricted","Restricted","Clupeidae","Clupeidae","No",29.03,0.4916,0.0111396238207817,13.0725569588319,"01","southern","summer","island"
"25","Pacific","Australia-Pacific","Central GBR","Rib Reef","slope","FP_2016_AU-P_01",2016,"TSV1_002",NA,"","","","","",NA,"",-18.471008,146.870605,9,17.2,"Pilchards","",NA,230,2150,294,9999,"",1.2649,2.5,0,0,0,63,0,0,37,0,0,0,0,0,0,0,0,0,0,0,"AIMS","2016-01-20","01010000007E5704FFDB5B62408527F4FA937832C0","slope","08:41:00","10:19:00","Aluminium (AIMS)","GoProHero4Silver","False",50,150,"CRS","Pilchards","False","FP_2016_AU-P_01_TSV1_002.mp4","","","","Testing Testing","",NA,2,2,"Completed","B","GBRMPA Rib Reef Habitat Protection Zone",10.9,2004,"<20km to next reef","high","gear, species, size, bag, entrants, temporal","spear; hook and line; gillnet; seine",3,73,154,"AU-P",12880,0.939,1.300534725,1.584797382,2016,49755.31548,24127159,0,0,45450.05135,9143.549442,1020.379785,1204.394097,4,"restricted","Restricted","Clupeidae","Clupeidae","No",29.03,0.4916,0.0111396238207817,13.0721264381656,"01","southern","summer","island"
"26","Pacific","Australia-Pacific","Central GBR","Rib Reef","slope","FP_2016_AU-P_01",2016,"TSV1_006",1,"Bluespotted maskray","Neotrygon","kuhlii","Ray","Dasyatidae",2757687,"045:57:687",-18.487083,146.884076,9,20.1,"Pilchards","",NA,230,2154,293,158,"",0.6325,0.8,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AIMS","2016-01-20","0101000000B665C0594A5C62400470B378B17C32C0","slope","09:40:00","11:57:00","Aluminium (AIMS)","GoProHero4Silver","False",50,150,"CRS","Pilchards","False","FP_2016_AU-P_01_TSV1_006.mp4","","","estimated drop time","","",NA,2,2,"Completed","B","GBRMPA Rib Reef Habitat Protection Zone",10.9,2004,"<20km to next reef","high","gear, species, size, bag, entrants, temporal","spear; hook and line; gillnet; seine",3,73,154,"AU-P",12880,0.939,1.300534725,1.584797382,2016,49755.31548,24127159,0,0,45450.05135,9143.549442,1020.379785,1204.394097,4,"restricted","Restricted","Clupeidae","Clupeidae","No",29.03,0.4916,0.0111396238207817,13.0730281982799,"01","southern","summer","island"
